Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-01,165.97999572753906,168.0399932861328,163.25,167.02999877929688,749500,0,0
2020-07-02,169.1699981689453,171.17999267578125,168.25999450683594,170.27000427246094,1071400,0,0
2020-07-06,172.6199951171875,173.97999572753906,171.0,172.58999633789062,675500,0,0
2020-07-07,171.8699951171875,174.50999450683594,171.75,173.1199951171875,992000,0,0
2020-07-08,173.1199951171875,174.77000427246094,171.9499969482422,174.4600067138672,763400,0,0
2020-07-09,173.82000732421875,174.6199951171875,170.30999755859375,173.1199951171875,621900,0,0
2020-07-10,173.39999389648438,174.52999877929688,170.8000030517578,172.67999267578125,562500,0,0
2020-07-13,178.0,182.9499969482422,175.5800018310547,178.25999450683594,1222500,0,0
2020-07-14,181.49000549316406,187.97000122070312,179.1199951171875,187.83999633789062,1279000,0,0
2020-07-15,190.0,190.8699951171875,186.1699981689453,188.75,865900,0,0
2020-07-16,188.25,194.0,187.25999450683594,190.4499969482422,548100,0,0
2020-07-17,191.67999267578125,194.82000732421875,191.67999267578125,193.64999389648438,673900,0,0
2020-07-20,194.0,196.2899932861328,192.38999938964844,195.47999572753906,585900,0,0
2020-07-21,195.8800048828125,197.8300018310547,195.61000061035156,196.80999755859375,579900,0,0
2020-07-22,197.5500030517578,200.67999267578125,197.05999755859375,200.07000732421875,801400,0,0
2020-07-23,199.3000030517578,201.8800048828125,197.1699981689453,198.75999450683594,680600,0,0
2020-07-24,197.99000549316406,199.1999969482422,194.0800018310547,198.74000549316406,811300,0,0
2020-07-27,197.94000244140625,201.63999938964844,197.10000610351562,201.3000030517578,903300,0,0
2020-07-28,203.02000427246094,206.74000549316406,195.0399932861328,196.5399932861328,1436600,0,0
2020-07-29,198.1999969482422,199.5,194.17999267578125,194.61000061035156,1036300,0,0
2020-07-30,193.38999938964844,195.3300018310547,191.47000122070312,194.83999633789062,750200,0,0
2020-07-31,194.5500030517578,195.08999633789062,189.55999755859375,192.9199981689453,640400,0,0
2020-08-03,192.42999267578125,198.0500030517578,192.27999877929688,196.02000427246094,523400,0,0
2020-08-04,195.19000244140625,196.38999938964844,192.99000549316406,194.77000427246094,469600,0,0
2020-08-05,195.80999755859375,196.57000732421875,193.0,193.52000427246094,593000,0,0
2020-08-06,193.24000549316406,194.3800048828125,188.39999389648438,189.77000427246094,797300,0,0
2020-08-07,189.1300048828125,193.1300048828125,189.1300048828125,193.11000061035156,807800,0,0
2020-08-10,192.7100067138672,193.3699951171875,187.17999267578125,187.3800048828125,762000,0,0
2020-08-11,187.60000610351562,189.72000122070312,182.05999755859375,186.1300048828125,903900,0,0
2020-08-12,187.0800018310547,189.1999969482422,185.66000366210938,188.10000610351562,529700,0,0
