Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-17 09:30:00-05:00,102.33000183105469,102.33000183105469,101.68000030517578,102.16999816894531,0,0,0
2020-12-17 09:31:00-05:00,102.16500091552734,102.16500091552734,102.16500091552734,102.16500091552734,390,0,0
2020-12-17 09:33:00-05:00,102.23999786376953,102.29000091552734,101.94999694824219,101.94999694824219,2704,0,0
2020-12-17 09:35:00-05:00,101.77999877929688,101.77999877929688,101.69999694824219,101.71499633789062,1216,0,0
2020-12-17 09:36:00-05:00,101.87999725341797,101.88999938964844,101.55999755859375,101.56999969482422,3116,0,0
2020-12-17 09:37:00-05:00,101.66999816894531,101.77999877929688,101.44999694824219,101.44999694824219,3490,0,0
2020-12-17 09:39:00-05:00,101.44999694824219,101.5199966430664,101.37000274658203,101.44999694824219,1567,0,0
2020-12-17 09:40:00-05:00,101.44999694824219,101.56500244140625,101.44999694824219,101.48999786376953,3431,0,0
2020-12-17 09:41:00-05:00,101.58999633789062,102.05000305175781,101.51000213623047,101.93000030517578,12701,0,0
2020-12-17 09:42:00-05:00,101.93499755859375,101.93499755859375,101.80999755859375,101.93000030517578,5349,0,0
2020-12-17 09:43:00-05:00,101.86000061035156,102.06999969482422,101.83000183105469,102.06999969482422,4329,0,0
2020-12-17 09:44:00-05:00,101.98999786376953,102.0199966430664,101.98999786376953,102.0199966430664,533,0,0
2020-12-17 09:45:00-05:00,102.05999755859375,102.16000366210938,102.02999877929688,102.16000366210938,921,0,0
2020-12-17 09:46:00-05:00,102.18000030517578,102.28500366210938,102.16999816894531,102.2300033569336,2670,0,0
2020-12-17 09:47:00-05:00,102.19999694824219,102.23999786376953,101.9800033569336,102.0199966430664,3277,0,0
2020-12-17 09:48:00-05:00,102.05999755859375,102.08000183105469,101.97000122070312,102.027099609375,2843,0,0
2020-12-17 09:49:00-05:00,101.8949966430664,102.16000366210938,101.8949966430664,102.11000061035156,2162,0,0
2020-12-17 09:50:00-05:00,102.25,102.29000091552734,102.25,102.29000091552734,405,0,0
2020-12-17 09:51:00-05:00,102.18000030517578,102.4000015258789,102.17500305175781,102.17500305175781,3416,0,0
2020-12-17 09:52:00-05:00,102.23500061035156,102.23500061035156,102.23500061035156,102.23500061035156,84406,0,0
2020-12-17 09:53:00-05:00,102.20999908447266,102.29000091552734,102.19499969482422,102.29000091552734,2590,0,0
2020-12-17 09:54:00-05:00,102.19000244140625,102.19000244140625,101.9800033569336,102.05999755859375,3802,0,0
2020-12-17 09:55:00-05:00,102.0250015258789,102.0250015258789,102.0250015258789,102.0250015258789,192,0,0
2020-12-17 09:56:00-05:00,102.16000366210938,102.18000030517578,102.13500213623047,102.13500213623047,973,0,0
2020-12-17 09:57:00-05:00,102.06999969482422,102.06999969482422,102.0,102.0,2006,0,0
2020-12-17 09:58:00-05:00,102.0199966430664,102.0199966430664,101.95999908447266,101.95999908447266,1035,0,0
2020-12-17 09:59:00-05:00,101.95999908447266,101.98999786376953,101.86000061035156,101.88500213623047,1386,0,0
2020-12-17 10:00:00-05:00,101.88500213623047,102.0,101.87999725341797,101.92500305175781,2807,0,0
2020-12-17 10:01:00-05:00,101.86000061035156,102.0199966430664,101.8499984741211,101.91999816894531,5265,0,0
2020-12-17 10:02:00-05:00,101.91999816894531,102.0,101.91999816894531,101.95500183105469,1115,0,0
2020-12-17 10:03:00-05:00,101.94999694824219,102.08000183105469,101.79000091552734,101.79000091552734,6005,0,0
2020-12-17 10:04:00-05:00,101.79499816894531,101.93000030517578,101.79000091552734,101.84500122070312,6752,0,0
2020-12-17 10:05:00-05:00,101.83999633789062,101.97000122070312,101.83999633789062,101.97000122070312,1316,0,0
2020-12-17 10:06:00-05:00,102.0199966430664,102.2300033569336,102.0199966430664,102.22000122070312,1199,0,0
2020-12-17 10:07:00-05:00,102.19000244140625,102.19000244140625,102.06999969482422,102.125,1238,0,0
2020-12-17 10:08:00-05:00,102.12999725341797,102.19999694824219,102.125,102.19999694824219,1477,0,0
2020-12-17 10:09:00-05:00,102.2300033569336,102.2300033569336,102.2300033569336,102.2300033569336,143,0,0
2020-12-17 10:10:00-05:00,102.16999816894531,102.18000030517578,102.11000061035156,102.11000061035156,1366,0,0
2020-12-17 10:11:00-05:00,102.11000061035156,102.1500015258789,102.11000061035156,102.1500015258789,980,0,0
2020-12-17 10:12:00-05:00,102.16000366210938,102.16000366210938,102.16000366210938,102.16000366210938,745,0,0
2020-12-17 10:13:00-05:00,102.16000366210938,102.19999694824219,102.16000366210938,102.19999694824219,597,0,0
2020-12-17 10:14:00-05:00,102.2300033569336,102.25,102.2300033569336,102.25,731,0,0
2020-12-17 10:15:00-05:00,102.30000305175781,102.30000305175781,102.25,102.25,2018,0,0
2020-12-17 10:16:00-05:00,102.25,102.25,102.25,102.25,302,0,0
2020-12-17 10:17:00-05:00,102.23999786376953,102.41999816894531,102.23999786376953,102.41999816894531,1644,0,0
2020-12-17 10:18:00-05:00,102.41999816894531,102.4800033569336,102.38999938964844,102.44000244140625,1084,0,0
2020-12-17 10:19:00-05:00,102.45999908447266,102.45999908447266,102.38500213623047,102.45999908447266,801,0,0
2020-12-17 10:20:00-05:00,102.45999908447266,102.48999786376953,102.3499984741211,102.3499984741211,1545,0,0
2020-12-17 10:21:00-05:00,102.28500366210938,102.33999633789062,102.2699966430664,102.33000183105469,2177,0,0
2020-12-17 10:22:00-05:00,102.27999877929688,102.33000183105469,102.27999877929688,102.33000183105469,531,0,0
2020-12-17 10:23:00-05:00,102.37000274658203,102.41500091552734,102.22000122070312,102.22000122070312,2007,0,0
2020-12-17 10:24:00-05:00,102.19999694824219,102.2300033569336,102.1500015258789,102.20999908447266,904,0,0
2020-12-17 10:25:00-05:00,102.30999755859375,102.375,102.27999877929688,102.27999877929688,2780,0,0
2020-12-17 10:26:00-05:00,102.2300033569336,102.30000305175781,102.11499786376953,102.12999725341797,1519,0,0
2020-12-17 10:27:00-05:00,102.25,102.41999816894531,102.25,102.41999816894531,2495,0,0
2020-12-17 10:28:00-05:00,102.51000213623047,102.58000183105469,102.45999908447266,102.5,1756,0,0
2020-12-17 10:29:00-05:00,102.5199966430664,102.5199966430664,102.43000030517578,102.43000030517578,1856,0,0
2020-12-17 10:30:00-05:00,102.37999725341797,102.37999725341797,102.2699966430664,102.2699966430664,1678,0,0
2020-12-17 10:31:00-05:00,102.30999755859375,102.3499984741211,102.29000091552734,102.3499984741211,1862,0,0
2020-12-17 10:32:00-05:00,102.52999877929688,102.61000061035156,102.4800033569336,102.4800033569336,2240,0,0
2020-12-17 10:33:00-05:00,102.41999816894531,102.41999816894531,102.41999816894531,102.41999816894531,283,0,0
2020-12-17 10:34:00-05:00,102.33999633789062,102.37000274658203,102.33000183105469,102.37000274658203,623,0,0
2020-12-17 10:35:00-05:00,102.33000183105469,102.33000183105469,102.2699966430664,102.30999755859375,1569,0,0
2020-12-17 10:36:00-05:00,102.33000183105469,102.33000183105469,102.20999908447266,102.20999908447266,1644,0,0
2020-12-17 10:37:00-05:00,102.12999725341797,102.19999694824219,102.12999725341797,102.19000244140625,1366,0,0
2020-12-17 10:38:00-05:00,102.19000244140625,102.19000244140625,102.12999725341797,102.12999725341797,892,0,0
2020-12-17 10:39:00-05:00,102.06999969482422,102.06999969482422,102.0,102.0,602,0,0
2020-12-17 10:40:00-05:00,102.12999725341797,102.12999725341797,101.98999786376953,101.98999786376953,863,0,0
2020-12-17 10:41:00-05:00,101.91999816894531,101.91999816894531,101.91999816894531,101.91999816894531,232,0,0
2020-12-17 10:42:00-05:00,101.92500305175781,102.02999877929688,101.92500305175781,102.0199966430664,3439,0,0
2020-12-17 10:43:00-05:00,101.95500183105469,101.95500183105469,101.95500183105469,101.95500183105469,234,0,0
2020-12-17 10:44:00-05:00,101.91999816894531,101.95999908447266,101.91999816894531,101.94999694824219,1561,0,0
2020-12-17 10:45:00-05:00,102.01499938964844,102.01499938964844,102.01499938964844,102.01499938964844,100,0,0
2020-12-17 10:46:00-05:00,102.08000183105469,102.08000183105469,102.06999969482422,102.06999969482422,363,0,0
2020-12-17 10:47:00-05:00,102.0999984741211,102.1500015258789,102.05999755859375,102.1500015258789,1380,0,0
2020-12-17 10:48:00-05:00,102.18000030517578,102.26000213623047,102.18000030517578,102.26000213623047,1090,0,0
2020-12-17 10:49:00-05:00,102.2300033569336,102.2300033569336,102.13999938964844,102.2300033569336,1663,0,0
2020-12-17 10:50:00-05:00,102.19999694824219,102.36000061035156,102.19999694824219,102.36000061035156,1482,0,0
2020-12-17 10:51:00-05:00,102.23999786376953,102.23999786376953,102.19999694824219,102.19999694824219,833,0,0
2020-12-17 10:52:00-05:00,102.30999755859375,102.30999755859375,102.30000305175781,102.30000305175781,280,0,0
2020-12-17 10:53:00-05:00,102.26000213623047,102.26000213623047,102.23999786376953,102.23999786376953,824,0,0
2020-12-17 10:54:00-05:00,102.31999969482422,102.3499984741211,102.24500274658203,102.30989837646484,2191,0,0
2020-12-17 10:55:00-05:00,102.25,102.25,102.25,102.25,770,0,0
2020-12-17 10:57:00-05:00,102.36000061035156,102.37000274658203,102.30000305175781,102.37000274658203,1861,0,0
2020-12-17 10:58:00-05:00,102.34500122070312,102.37999725341797,102.34500122070312,102.37000274658203,903,0,0
2020-12-17 10:59:00-05:00,102.33999633789062,102.41999816894531,102.33000183105469,102.41999816894531,2788,0,0
2020-12-17 11:00:00-05:00,102.44000244140625,102.44000244140625,102.37000274658203,102.37000274658203,1329,0,0
2020-12-17 11:01:00-05:00,102.36000061035156,102.41500091552734,102.3499984741211,102.38999938964844,2156,0,0
2020-12-17 11:02:00-05:00,102.41000366210938,102.41999816894531,102.41000366210938,102.41999816894531,711,0,0
2020-12-17 11:03:00-05:00,102.41999816894531,102.41999816894531,102.33999633789062,102.38999938964844,2205,0,0
2020-12-17 11:04:00-05:00,102.37999725341797,102.37999725341797,102.23999786376953,102.23999786376953,1948,0,0
2020-12-17 11:05:00-05:00,102.2699966430664,102.30000305175781,102.26000213623047,102.26000213623047,2104,0,0
2020-12-17 11:06:00-05:00,102.26000213623047,102.26000213623047,102.26000213623047,102.26000213623047,122,0,0
2020-12-17 11:07:00-05:00,102.26499938964844,102.26499938964844,102.26499938964844,102.26499938964844,206,0,0
2020-12-17 11:08:00-05:00,102.30999755859375,102.30999755859375,102.15010070800781,102.15010070800781,2510,0,0
2020-12-17 11:09:00-05:00,102.13739776611328,102.16999816894531,102.13739776611328,102.16999816894531,430,0,0
2020-12-17 11:10:00-05:00,102.16999816894531,102.18000030517578,102.08999633789062,102.18000030517578,3324,0,0
2020-12-17 11:11:00-05:00,102.19999694824219,102.20999908447266,102.19999694824219,102.20999908447266,771,0,0
2020-12-17 11:12:00-05:00,102.19000244140625,102.20999908447266,102.13999938964844,102.20999908447266,1731,0,0
2020-12-17 11:13:00-05:00,102.25,102.41999816894531,102.23999786376953,102.3949966430664,3433,0,0
2020-12-17 11:14:00-05:00,102.36000061035156,102.36000061035156,102.31999969482422,102.31999969482422,1117,0,0
2020-12-17 11:15:00-05:00,102.36000061035156,102.41000366210938,102.3499984741211,102.37999725341797,1700,0,0
2020-12-17 11:16:00-05:00,102.44499969482422,102.48999786376953,102.4000015258789,102.41000366210938,1670,0,0
2020-12-17 11:18:00-05:00,102.43000030517578,102.48999786376953,102.41000366210938,102.41000366210938,2059,0,0
2020-12-17 11:19:00-05:00,102.37000274658203,102.41999816894531,102.36000061035156,102.41999816894531,964,0,0
2020-12-17 11:20:00-05:00,102.41000366210938,102.41999816894531,102.38500213623047,102.41000366210938,1454,0,0
2020-12-17 11:21:00-05:00,102.37000274658203,102.44000244140625,102.34500122070312,102.44000244140625,2352,0,0
2020-12-17 11:22:00-05:00,102.4800033569336,102.51000213623047,102.4800033569336,102.51000213623047,1245,0,0
