,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,DateTimeObj,StrDateTime
2020-12-21 09:30:00-05:00,429.04998779296875,429.260009765625,429.0199890136719,429.260009765625,,48251.0,0.0,0.0,2020-12-21 09:30:00,2020-12-21 09:30:00-05:00
2020-12-21 09:31:00-05:00,429.6400146484375,430.989990234375,429.5400085449219,430.80999755859375,,11731.0,0.0,0.0,2020-12-21 09:31:00,2020-12-21 09:31:00-05:00
2020-12-21 09:32:00-05:00,430.989990234375,432.0,430.51239013671875,431.2900085449219,,10294.0,0.0,0.0,2020-12-21 09:32:00,2020-12-21 09:32:00-05:00
2020-12-21 09:33:00-05:00,431.19500732421875,431.7200012207031,430.010009765625,430.625,,11837.0,0.0,0.0,2020-12-21 09:33:00,2020-12-21 09:33:00-05:00
2020-12-21 09:34:00-05:00,430.30999755859375,430.53790283203125,428.8999938964844,428.93499755859375,,6479.0,0.0,0.0,2020-12-21 09:34:00,2020-12-21 09:34:00-05:00
2020-12-21 09:35:00-05:00,428.9100036621094,429.2099914550781,428.3800048828125,429.05999755859375,,10280.0,0.0,0.0,2020-12-21 09:35:00,2020-12-21 09:35:00-05:00
2020-12-21 09:36:00-05:00,429.0799865722656,430.25,428.89068603515625,430.0,,4856.0,0.0,0.0,2020-12-21 09:36:00,2020-12-21 09:36:00-05:00
2020-12-21 09:37:00-05:00,429.94000244140625,430.0,429.4800109863281,429.54998779296875,,5213.0,0.0,0.0,2020-12-21 09:37:00,2020-12-21 09:37:00-05:00
2020-12-21 09:38:00-05:00,429.42999267578125,429.5899963378906,429.1199951171875,429.1300048828125,,3925.0,0.0,0.0,2020-12-21 09:38:00,2020-12-21 09:38:00-05:00
2020-12-21 09:39:00-05:00,429.0,429.29949951171875,428.260009765625,428.4100036621094,,10413.0,0.0,0.0,2020-12-21 09:39:00,2020-12-21 09:39:00-05:00
2020-12-21 09:40:00-05:00,428.2049865722656,428.4100036621094,427.8599853515625,428.1700134277344,,7190.0,0.0,0.0,2020-12-21 09:40:00,2020-12-21 09:40:00-05:00
2020-12-21 09:41:00-05:00,428.0,428.7464904785156,428.0,428.7464904785156,,5808.0,0.0,0.0,2020-12-21 09:41:00,2020-12-21 09:41:00-05:00
2020-12-21 09:42:00-05:00,428.5400085449219,428.5799865722656,427.2001037597656,427.2001037597656,,8377.0,0.0,0.0,2020-12-21 09:42:00,2020-12-21 09:42:00-05:00
2020-12-21 09:43:00-05:00,427.385009765625,427.92498779296875,427.1700134277344,427.92498779296875,,5208.0,0.0,0.0,2020-12-21 09:43:00,2020-12-21 09:43:00-05:00
2020-12-21 09:44:00-05:00,427.7799987792969,427.8450012207031,427.2489013671875,427.760009765625,,3786.0,0.0,0.0,2020-12-21 09:44:00,2020-12-21 09:44:00-05:00
2020-12-21 09:45:00-05:00,428.32000732421875,428.32000732421875,427.4100036621094,427.4100036621094,,6168.0,0.0,0.0,2020-12-21 09:45:00,2020-12-21 09:45:00-05:00
2020-12-21 09:46:00-05:00,427.306396484375,427.43499755859375,426.79998779296875,426.79998779296875,,7196.0,0.0,0.0,2020-12-21 09:46:00,2020-12-21 09:46:00-05:00
2020-12-21 09:47:00-05:00,427.1499938964844,427.5199890136719,427.1499938964844,427.4200134277344,,4761.0,0.0,0.0,2020-12-21 09:47:00,2020-12-21 09:47:00-05:00
2020-12-21 09:48:00-05:00,427.2250061035156,427.2699890136719,427.0199890136719,427.260009765625,,2530.0,0.0,0.0,2020-12-21 09:48:00,2020-12-21 09:48:00-05:00
2020-12-21 09:49:00-05:00,427.2099914550781,427.29998779296875,426.760009765625,427.1700134277344,,7006.0,0.0,0.0,2020-12-21 09:49:00,2020-12-21 09:49:00-05:00
2020-12-21 09:50:00-05:00,426.69000244140625,427.3599853515625,426.69000244140625,427.1400146484375,,2567.0,0.0,0.0,2020-12-21 09:50:00,2020-12-21 09:50:00-05:00
2020-12-21 09:51:00-05:00,427.3500061035156,427.7200012207031,427.0,427.55999755859375,,3822.0,0.0,0.0,2020-12-21 09:51:00,2020-12-21 09:51:00-05:00
2020-12-21 09:52:00-05:00,427.4700012207031,427.82000732421875,427.4700012207031,427.7200012207031,,3186.0,0.0,0.0,2020-12-21 09:52:00,2020-12-21 09:52:00-05:00
2020-12-21 09:53:00-05:00,427.67999267578125,428.0050048828125,427.3800048828125,427.8299865722656,,9937.0,0.0,0.0,2020-12-21 09:53:00,2020-12-21 09:53:00-05:00
2020-12-21 09:54:00-05:00,427.8656005859375,427.8656005859375,427.7900085449219,427.7900085449219,,834.0,0.0,0.0,2020-12-21 09:54:00,2020-12-21 09:54:00-05:00
2020-12-21 09:55:00-05:00,427.8399963378906,428.9700012207031,427.79998779296875,428.9700012207031,,6232.0,0.0,0.0,2020-12-21 09:55:00,2020-12-21 09:55:00-05:00
2020-12-21 09:56:00-05:00,428.9700012207031,429.2099914550781,428.2699890136719,429.2099914550781,,8741.0,0.0,0.0,2020-12-21 09:56:00,2020-12-21 09:56:00-05:00
2020-12-21 09:57:00-05:00,429.0,429.0268859863281,428.55999755859375,428.55999755859375,,5357.0,0.0,0.0,2020-12-21 09:57:00,2020-12-21 09:57:00-05:00
