Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-01,85.10421366131901,90.803374826848,83.33220839267995,88.64823150634766,7748241,0.0,0
2020-07-02,89.74974393575822,92.38380801112493,89.70185624631098,91.13861846923828,4694090,0.0,0
2020-07-03,91.56964346365143,96.35885083421635,90.65969698634429,94.92208862304688,5786746,0.0,0
2020-07-06,95.73625210343853,104.7878583890472,95.64046941788854,103.4947738647461,6620461,0.0,0
2020-07-07,103.92579568926426,109.52916662202017,101.62697478389639,108.5234375,7519746,0.0,0
2020-07-08,109.05024867220783,114.36627169405507,108.23608489340926,112.54637145996094,7440344,0.0,0
2020-07-09,113.6957757698248,122.9868347955147,113.21685505081501,119.58650207519531,12938027,0.0,0
2020-07-10,119.9696461061209,121.88532907787533,114.94097830526553,116.90455627441406,6093675,0.0,0
2020-07-13,121.35850859623541,121.40640359175832,117.19189975700323,118.29341888427734,4960371,0.0,0
2020-07-14,116.85665442012005,118.10185120179517,111.78009191975248,115.27621459960938,3405489,0.0,0
2020-07-15,115.3720037569301,116.85666097935824,112.06745356217142,113.5999984741211,2957885,0.0,0
2020-07-16,110.4000015258789,117.0,109.9000015258789,114.0999984741211,2327881,5.0,0
2020-07-17,113.80000305175781,123.4000015258789,113.0,118.69999694824219,5192068,0.0,0
2020-07-20,119.5,121.8499984741211,117.5999984741211,118.5999984741211,1545798,0.0,0
2020-07-21,119.5999984741211,119.6500015258789,112.55000305175781,113.9000015258789,2678709,0.0,0
2020-07-22,114.75,115.0,111.1500015258789,113.0,1902974,0.0,0
2020-07-23,113.69999694824219,121.5,113.0,119.8499984741211,5884382,0.0,0
2020-07-24,119.0,125.4000015258789,118.30000305175781,122.55000305175781,6052819,0.0,0
2020-07-27,123.5,125.30000305175781,121.5,121.94999694824219,2160903,0.0,0
2020-07-28,122.5,123.8499984741211,120.69999694824219,122.0,3058372,0.0,0
2020-07-29,122.0,128.25,119.25,126.80000305175781,8158773,0.0,0
2020-07-30,127.1500015258789,128.3000030517578,121.9000015258789,122.80000305175781,4043067,0.0,0
2020-07-31,123.5,124.80000305175781,119.69999694824219,120.8499984741211,1679196,0.0,0
2020-08-03,122.0,124.5,120.80000305175781,121.75,2193467,0.0,0
2020-08-04,122.5,123.4000015258789,120.5999984741211,121.6500015258789,2264853,0.0,0
2020-08-05,121.75,122.44999694824219,119.19999694824219,120.25,1208202,0.0,0
2020-08-06,120.80000305175781,124.80000305175781,120.05000305175781,122.44999694824219,2132730,0.0,0
2020-08-07,123.19999694824219,125.5,121.05000305175781,122.5,2040279,0.0,0
2020-08-10,123.0,125.0,121.19999694824219,121.75,1414903,0.0,0
2020-08-11,122.05000305175781,124.5999984741211,116.25,119.30000305175781,2461282,0.0,0
2020-08-12,118.5,121.8499984741211,117.5999984741211,119.94999694824219,1455160,0.0,0
2020-08-13,120.8499984741211,122.94999694824219,120.4000015258789,121.5999984741211,2089172,0.0,0
2020-08-14,122.5999984741211,122.75,118.4000015258789,119.80000305175781,1302703,0.0,0
2020-08-17,121.5,121.69999694824219,118.44999694824219,118.94999694824219,910994,0.0,0
2020-08-18,119.69999694824219,122.05000305175781,118.5,118.75,1713840,0.0,0
2020-08-19,122.19999694824219,139.0,122.19999694824219,130.89999389648438,21700349,0.0,0
2020-08-20,130.4499969482422,136.10000610351562,128.25,132.64999389648438,7486209,0.0,0
2020-08-21,130.0,132.1999969482422,125.5,127.5999984741211,2439727,0.0,0
2020-08-24,127.94999694824219,128.6999969482422,123.30000305175781,124.69999694824219,1773581,0.0,0
2020-08-25,126.0,129.5,125.0999984741211,125.75,2418574,0.0,0
2020-08-26,126.80000305175781,131.6999969482422,125.0,128.8000030517578,2150672,0.0,0
2020-08-27,130.0,131.89999389648438,129.0,129.64999389648438,1244686,0.0,0
